Nr./ID;Dokument;Quelle;Anforderung;Keywords;Gefährdung;Beschreibung
1;BSI;G 5.2;Durch Mitarbeiter erfasste Daten sollten auf ihre Plausibilität hin überprüft werden;Manipulation, Daten, Prüfung;Mitarbeiter könnten vorsätzlich Daten bei der Erfassung manipulieren um sich oder Anderen einen Vorteil zu verschaffen;
2;;;Wenn Zugriffsrechte geändert werden sollte dies durch die Software protokolliert und später durch einen Administrator überprüft werden;Manipulation, Rechte, Administrator, Prüfung;Mitarbeiter könnten vorsätzlich Zugriffsrechte umsetzen um unbefugt auf Daten oder Dienste zugreifen zu können;
3;;;Die Bearbeitung von sensiblen Daten durch Mitarbeiter sollte Protokolliert und von einem Vorgesetzten überprüft werden;Manipulation, Daten, Prüfung, Vorgesetzter;Mitarbeiter könnten sensible Daten wie Abrechnungen manipulieren und sich oder Anderen damit einen Vorteil verschaffen;
4;;;Unbefugte Änderungen am Betriebssystem durch einen Mitarbeiter sollten Protokolliert und durch einen Administrator überprüft werden;Manipulation, Betriebssystem;Mitarbeiter könnten vorsätzlich das Verhalten des Betriebssystem verändern und so Sicherheitslücken öffnen;
5;;G 5.3;Unbefugten sollte mit allen dazu Verfügung stehenden Mitteln der Zugang zu Gebäuden und Räumen mit sensiblen Daten und System verwehrt werden;Einbruch;Wenn Unbefugte sich Zugang zu den Gebäuden oder Räumen einer Organisation verschaffen können, kann Diebstahl, Datenmanipulation oder die Weitergabe geheimer Daten die Folge sein;
6;;G 5.7;Bei Leitungen wie Netzwerkkabeln, die sensible Daten transpotieren sollte auf größtmögliche Abhörsicherheit geachtet werden;Abhören, Sniffing, Leitung;Wenn Unbefugte es leicht haben, Leitungen die sensible Daten transpotieren abzuhören, ist die Hemmschwelle dies zu tun sehr gering;
7;;G 5.8;Die private Nutzung des Netzwerks durch Mitarbeiter sollte verhindert werden;Privat, Netzwerk, Leitung;Die private Nutzung des Netzwerks durch Mitarbeiter kann gebührenpflichte Verbindungen oder die blockierung von Ressourcen nach sich ziehen;
8;;G 5.9;IT-Systeme sollten bei der Eingabe von falschen Passwörtern nur zurückgeben, dass der Zutritt verwehrt wurde und darüber hinaus ein massenhaftes Ausprobieren mittels einer Schranke verhindern;Passwort, Login, Resonanz, Schranke;Wenn die Passwortabfrage schon beim ersten falschen Buchstaben eine negative Resonanz gibt oder generell zuviele Informationen über das falsche Passwort zurückgibt oder der Angreifer die Möglichkeit hat theoretisch unendlich oft zu probieren, ist jedes Passwort auf Dauer leicht zu erraten;
9;;;IT-Systeme sollten bei der Eingabe von falschen Benutzernamen nur zurückgeben, dass der Zutritt verwehrt wurde und darüber hinaus ein massenhaftes Ausprobieren mittels einer Schranke verhindern;Benutzername, Login, Resonanz, Schranke;Wenn der Loginmechanismus bei Eingabe falscher Benutzernamen zuviele Informationen über diese zurückgibt oder der Angreifer die Möglichkeit hat theoretisch unendlich oft zu probieren, ist jeder Benutzername in Kombination mit dem Passwort auf Dauer leicht zu erraten;
10;;G 5.10;Fernwartungszugänge sollten geeignet gegen Missbrauch geschützt sein;Fernwartungszugang, Missbrauch;Über nicht ausreichend geschütze Fernwartungszugänge können Angreifer in IT-Systeme eindringen;
11;;G 5.11;Verbindungsdaten von Telekommunikationsanlagen sollten vor unautorisierten Zugriff geschützt sein;Telekommunikation, Verbindungsdaten;Verbindungsdaten von Telekommunikationsanlagen können dazu genutzt werden Kommunikationsprofile zu erstellen;
12;;;Mitgeschnittene Gespräche von VoIP Anlagen sollten vor unautorisierten Zugriff geschützt sein;VoIP, Daten, Aufzeichnungen;Wenn die Mittschnitte von VoIP Anlagen von Unbefugten eingesehen werden können, kann dies zu einem erheblichen Vertraulichkeitsverlust führen;
13;;G 5.12;Bei der Nutzung von VoIP Anlagen sollte eine hinreichende Verschlüsselung verwendet werden;VoIP, Verschlüsselung, Kryptographie;Bei fehlender oder unzureichender Verschlüsselung von VoIP Datenpaketen oder hinterlassenden Nachrichten kann die Vertraulichkeit nicht gewährt werden;
14;;G 5.13;Bei Telekommunikationsgeräten, Gegensprechanlagen, Multimediarechner mit Internetanschluss und ähnlichen Geräten sollte durch geeignete Konfiguration ein Abhören durch Unbefugte verhindert werden;Telekommunikation, VoIP, Abhören, Belauschen;Wenn die Funktionen die ein Abhören erlauben bei Telekommunikationsgeräten, PCs und Gegensprechanlagen nicht deaktiviert werden, können unbefugte Mitarbeiter oder Angreifer möglicherweise wichtige Gespräche abhören;
15;;G 5.15;Bei der Administration von Telekommunikationsanlagen sollte geprüft werden, ob unerlaubte Umleitungen eingerichtet wurden;Telekommunikation, Umleitung;Wenn unerlaubte Umleitungen eingerichtet wurden, können sich so Unbefugte für bestimmte Mitarbeiter ausgeben und an sensible oder geheime Informationen gelangen;
16;;G 5.16;Nach Wartungsarbeiten sollte Überprüft werden, ob die Konfiguration geändert oder unbefugt auf Daten zugegriffen wurde;Wartung, Dienstleister, Konfiguration, Daten;Externe Dienstleister könnten bei Wartungsarbeiten Hintertüren einbauen oder vertrauliche Daten einsehen. Interne Mitarbeiter könnten aus Gefälligkeit zusätzliche Dienste oder Rechte freischalten und Daten manipulieren;
17;;G 5.17;Mobilen Endgeräten, die sensible Daten beinhalten, sollten nicht unbeaufsichtigt gelassen und geeignet sicher aufbewahrt und mitgeführt werden;Mobiles Endgerät, Diebstahl;Mobile Endgeräte und deren gespeicherte möglicherweise sensible Daten können wesentlich leichter gestohlen werden als Desktop PCs oder ähnliche Geräte;
